"u","Points:0","Points:1","Points:2"
5.2368088310e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.6000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.0959999965e+02,2.0000000000e+00,1.8400000334e+00,0.0000000000e+00
5.2368088310e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.0959999965e+02,2.0000000000e+00,1.8400000334e+00,0.0000000000e+00
4.0959999965e+02,1.8400000334e+00,2.0000000000e+00,0.0000000000e+00
5.2368088310e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.0959999965e+02,1.8400000334e+00,2.0000000000e+00,0.0000000000e+00
4.6000000000e+02,1.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.0959999965e+02,1.8400000334e+00,2.0000000000e+00,0.0000000000e+00
4.0959999965e+02,2.0000000000e+00,1.8400000334e+00,0.0000000000e+00
