"u","Points:0","Points:1","Points:2"
7.4000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
6.9750000000e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
6.5500000000e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
6.9750000000e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
6.5500000000e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
6.1250000000e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
6.1250000000e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
5.7000000000e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.7000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
5.2750000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
6.1250000000e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
6.5500000000e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.7000000000e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
5.2750000000e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.8500000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.7000000000e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
6.1250000000e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
5.2750000000e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.8500000000e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.4250000000e+02,2.0000000000e+00,1.7500000000e+00,0.0000000000e+00
5.2750000000e+02,1.2500000000e+00,2.0000000000e+00,0.0000000000e+00
5.7000000000e+02,1.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.8500000000e+02,1.5000000000e+00,2.0000000000e+00,0.0000000000e+00
4.4250000000e+02,1.7500000000e+00,2.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,2.0000000000e+00,0.0000000000e+00
