"u","Points:0","Points:1","Points:2"
5.5999931617e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
5.3999920898e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.1999825861e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.3999918141e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.3999920898e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.1999922031e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
4.9999723519e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.1999825861e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.1999922031e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
4.9999941366e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
4.7999824844e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999723519e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999941366e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
4.8000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.6000000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.7999824844e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.3999918141e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.1999825861e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999697204e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.1999912532e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.1999825861e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999723519e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.7998834202e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.9999697204e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.9999723519e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.7999824844e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.5998585870e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.7998834202e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.7999824844e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.6000000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.4000000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.5998585870e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
5.1999912532e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.9999697204e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.7999792824e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.9999928641e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.9999697204e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.7998834202e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.5998469280e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.7999792824e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.7998834202e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.5998585870e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.3994568751e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
