"u","Points:0","Points:1","Points:2"
5.5999929942e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
5.3999919035e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.1999823692e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.3999916230e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.3999919035e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.1999920078e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
4.9999720880e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.1999823692e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.1999920078e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
4.9999940174e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
4.7999822707e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999720880e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999940174e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
4.8000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.6000000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.7999822707e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.3999916230e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.1999823692e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999694362e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.1999910373e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.1999823692e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999720880e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.7998830336e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.9999694362e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.9999720880e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.7999822707e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.5998582087e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.7998830336e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.7999822707e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.6000000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.4000000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.5998582087e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
5.1999910373e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.9999694362e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.7999790333e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.9999927220e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.9999694362e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.7998830336e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.5998465234e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.7999790333e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.7998830336e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.5998582087e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.3994556485e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.5998465234e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.5998582087e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.4000000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.2000000000e+02,2.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.3994556485e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.9999927220e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.7999790333e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.6000000000e+02,1.2500000000e+00,2.0000000000e+00,0.0000000000e+00
4.8000000000e+02,1.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.7999790333e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.5998465234e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.4000000000e+02,1.5000000000e+00,2.0000000000e+00,0.0000000000e+00
4.6000000000e+02,1.2500000000e+00,2.0000000000e+00,0.0000000000e+00
4.5998465234e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.3994556485e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.2000000000e+02,1.7500000000e+00,2.0000000000e+00,0.0000000000e+00
4.4000000000e+02,1.5000000000e+00,2.0000000000e+00,0.0000000000e+00
4.3994556485e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.2000000000e+02,2.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.1920000003e+02,2.0000000000e+00,1.7599999905e+00,0.0000000000e+00
4.3994556485e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.1920000003e+02,2.0000000000e+00,1.7599999905e+00,0.0000000000e+00
4.1920000003e+02,1.7599999905e+00,2.0000000000e+00,0.0000000000e+00
4.3994556485e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
