"u","Points:0","Points:1","Points:2"
7.8000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
7.3250000000e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
6.8500000000e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
7.3250000000e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
6.8500000000e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
6.3750000000e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
6.3750000000e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
5.9000000000e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.9000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
5.4250000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
6.3750000000e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
6.8500000000e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.9000000000e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
5.4250000000e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.9500000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.9000000000e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
6.3750000000e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
5.4250000000e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.9500000000e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.4750000000e+02,2.0000000000e+00,1.7500000000e+00,0.0000000000e+00
5.4250000000e+02,1.2500000000e+00,2.0000000000e+00,0.0000000000e+00
5.9000000000e+02,1.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.9500000000e+02,1.5000000000e+00,2.0000000000e+00,0.0000000000e+00
4.4750000000e+02,1.7500000000e+00,2.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,2.0000000000e+00,0.0000000000e+00
