"u","Points:0","Points:1","Points:2"
5.9999892509e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
5.7499742260e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.4999918450e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.7499733940e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.7499742260e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.4999859745e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
5.2499142780e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.4999918450e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.4999859745e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
5.2499804885e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
4.9999965450e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.2499142780e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.2499804885e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
5.0000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.7500000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999965450e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.7499733940e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.4999918450e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.2499075772e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.4999842876e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.4999918450e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.2499142780e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.0001821554e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
5.2499075772e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.2499142780e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.9999965450e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.7492272746e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
5.0001821554e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.9999965450e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.7500000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.5000000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.7492272746e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
