"ls","u","Points:0","Points:1","Points:2"
8.200000e-01,6.220786e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.200000e-01,5.100000e+02,1.000000e+00,0.000000e+00,0.000000e+00
5.057622e-09,4.396000e+02,1.000000e+00,6.400000e-01,0.000000e+00
8.200000e-01,6.220786e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.057622e-09,4.396000e+02,1.000000e+00,6.400000e-01,0.000000e+00
5.057622e-09,4.396000e+02,6.400000e-01,1.000000e+00,0.000000e+00
8.200000e-01,6.220786e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.057622e-09,4.396000e+02,6.400000e-01,1.000000e+00,0.000000e+00
3.200000e-01,5.100000e+02,0.000000e+00,1.000000e+00,0.000000e+00
-1.800000e-01,4.000000e+02,1.000000e+00,1.000000e+00,0.000000e+00
5.057622e-09,4.396000e+02,6.400000e-01,1.000000e+00,0.000000e+00
5.057622e-09,4.396000e+02,1.000000e+00,6.400000e-01,0.000000e+00
