"u","Points:0","Points:1","Points:2"
7.7998115155e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.3249276168e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
6.8496250280e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
7.3249276168e+02,0.0000000000e+00,2.5000000000e-01,0.0000000000e+00
7.3249276168e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
6.8494398351e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
6.3753991975e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
6.8496250280e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.8494398351e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
6.3746719601e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.8976441003e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.3753991975e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
6.3746719601e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.9000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4250000000e+02,1.0000000000e+00,2.5000000000e-01,0.0000000000e+00
5.8976441003e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
7.3249276168e+02,0.0000000000e+00,2.5000000000e-01,0.0000000000e+00
6.8496250280e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.3753991975e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
6.8494398351e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.8496250280e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.3753991975e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
5.8974279818e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
6.3753991975e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
6.3753991975e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
5.8976441003e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
5.4332903486e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.8974279818e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
6.8494398351e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.3753991975e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.8976441003e+02,2.5000000000e-01,7.5000000000e-01,0.0000000000e+00
6.3746719601e+02,0.0000000000e+00,7.5000000000e-01,0.0000000000e+00
6.3753991975e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.8974279818e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
5.4332903486e+02,5.0000000000e-01,7.5000000000e-01,0.0000000000e+00
5.8976441003e+02,2.5000000000e-01,7.5000000000e-01,0.0000000000e+00
6.3746719601e+02,0.0000000000e+00,7.5000000000e-01,0.0000000000e+00
5.8976441003e+02,2.5000000000e-01,7.5000000000e-01,0.0000000000e+00
5.4250000000e+02,2.5000000000e-01,1.0000000000e+00,0.0000000000e+00
5.9000000000e+02,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.9426680403e+02,7.5000000000e-01,7.5000000000e-01,0.0000000000e+00
4.4750000000e+02,1.0000000000e+00,7.5000000000e-01,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.4750000000e+02,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
5.8976441003e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
5.4250000000e+02,1.0000000000e+00,2.5000000000e-01,0.0000000000e+00
5.2920000024e+02,1.0000000000e+00,3.1999999285e-01,0.0000000000e+00
5.8976441003e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
5.2920000024e+02,1.0000000000e+00,3.1999999285e-01,0.0000000000e+00
5.2979690535e+02,8.1999999285e-01,5.0000000000e-01,0.0000000000e+00
5.8976441003e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
5.2979690535e+02,8.1999999285e-01,5.0000000000e-01,0.0000000000e+00
5.4332903486e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.9500000000e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
5.2979293687e+02,8.1999999285e-01,5.0000000000e-01,0.0000000000e+00
5.2920000024e+02,1.0000000000e+00,3.1999999285e-01,0.0000000000e+00
5.8974279818e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
5.4332903486e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.2958667116e+02,7.5000000000e-01,5.6999999285e-01,0.0000000000e+00
5.8974279818e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
5.2958667116e+02,7.5000000000e-01,5.6999999285e-01,0.0000000000e+00
5.2958667116e+02,5.6999999285e-01,7.5000000000e-01,0.0000000000e+00
5.8974279818e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
