"u","Points:0","Points:1","Points:2"
7.1998821673e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7999496592e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
6.3997674699e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.7999496592e+02,0.0000000000e+00,2.5000000000e-01,0.0000000000e+00
6.7999496592e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
6.3997055247e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
6.0002323863e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
6.3997674699e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.3997055247e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.9999782389e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.5986071863e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.0002323863e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
5.9999782389e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.6000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.2000000000e+02,1.0000000000e+00,2.5000000000e-01,0.0000000000e+00
5.5986071863e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.7999496592e+02,0.0000000000e+00,2.5000000000e-01,0.0000000000e+00
6.3997674699e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.0002323863e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
6.3997055247e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.3997674699e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
6.0002323863e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
5.5982760011e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
6.0002323863e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
6.0002323863e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
5.5986071863e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
5.2050004977e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.5982760011e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
6.3997055247e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.0002323863e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.5986071863e+02,2.5000000000e-01,7.5000000000e-01,0.0000000000e+00
5.9999782389e+02,0.0000000000e+00,7.5000000000e-01,0.0000000000e+00
6.0002323863e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.5982760011e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
5.2050004977e+02,5.0000000000e-01,7.5000000000e-01,0.0000000000e+00
5.5986071863e+02,2.5000000000e-01,7.5000000000e-01,0.0000000000e+00
5.9999782389e+02,0.0000000000e+00,7.5000000000e-01,0.0000000000e+00
5.5986071863e+02,2.5000000000e-01,7.5000000000e-01,0.0000000000e+00
