"u","Points:0","Points:1","Points:2"
7.3298156940e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.3000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5719999978e+02,1.0000000000e+00,5.6000000238e-01,0.0000000000e+00
7.3298156940e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5719999978e+02,1.0000000000e+00,5.6000000238e-01,0.0000000000e+00
4.5719999978e+02,5.6000000238e-01,1.0000000000e+00,0.0000000000e+00
7.3298156940e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5719999978e+02,5.6000000238e-01,1.0000000000e+00,0.0000000000e+00
5.3000000000e+02,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.5719999978e+02,5.6000000238e-01,1.0000000000e+00,0.0000000000e+00
4.5719999978e+02,1.0000000000e+00,5.6000000238e-01,0.0000000000e+00
