"u","Points:0","Points:1","Points:2"
5.8001024863e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.3501722496e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
5.3501722496e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
5.8001024863e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
5.3501722496e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
4.9003395814e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9003395814e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
5.3501722496e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
4.9003395814e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4504745168e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.4504745168e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.9003395814e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.4504745168e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.2522657305e+02,1.8600000143e+00,0.0000000000e+00,0.0000000000e+00
4.2522657305e+02,1.8600000143e+00,5.0000000000e-01,0.0000000000e+00
4.4504745168e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.2519504544e+02,1.8600000143e+00,5.0000000000e-01,0.0000000000e+00
4.2519504544e+02,1.8600000143e+00,0.0000000000e+00,0.0000000000e+00
