"u","Points:0","Points:1","Points:2"
7.2000657428e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.3999824926e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
6.3999824926e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
7.2000657428e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.3999824926e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
5.5998270041e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
5.5998270041e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
6.3999824926e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
4.7968578806e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.7968578806e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
5.5998270041e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8967665527e+02,1.7200000286e+00,0.0000000000e+00,0.0000000000e+00
4.8967665527e+02,1.7200000286e+00,5.0000000000e-01,0.0000000000e+00
5.5998270041e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.7968578806e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.7968578806e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.8962502378e+02,1.7200000286e+00,5.0000000000e-01,0.0000000000e+00
4.8962502378e+02,1.7200000286e+00,0.0000000000e+00,0.0000000000e+00
