"u","Points:0","Points:1","Points:2"
7.4000296340e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5499626931e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
6.5499626931e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
7.4000296340e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.5499626931e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
5.6997593652e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
5.6997593652e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
6.5499626931e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
4.8457735985e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.8457735985e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
5.6997593652e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0204296446e+02,1.7000000477e+00,0.0000000000e+00,0.0000000000e+00
5.0204296446e+02,1.7000000477e+00,5.0000000000e-01,0.0000000000e+00
5.6997593652e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.8457735985e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.8457735985e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
5.0198876293e+02,1.7000000477e+00,5.0000000000e-01,0.0000000000e+00
5.0198876293e+02,1.7000000477e+00,0.0000000000e+00,0.0000000000e+00
