"u","Points:0","Points:1","Points:2"
5.4000381259e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0500929973e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
5.0500929973e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
5.4000381259e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
5.0500929973e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
4.7003019565e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7003019565e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
5.0500929973e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
4.7003019565e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3506288359e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.3506288359e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.7003019565e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.3506288359e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.1402515323e+02,1.8999999762e+00,0.0000000000e+00,0.0000000000e+00
4.1402515323e+02,1.8999999762e+00,5.0000000000e-01,0.0000000000e+00
4.3506288359e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.1400016460e+02,1.8999999762e+00,5.0000000000e-01,0.0000000000e+00
4.1400016460e+02,1.8999999762e+00,0.0000000000e+00,0.0000000000e+00
