"u","Points:0","Points:1","Points:2"
7.4000103121e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5500134011e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
6.5500134011e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
7.4000103121e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.5500134011e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.7000184169e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.7000184169e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
6.5500134011e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.8499825906e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.8499825906e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.7000184169e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.0200278453e+02,6.9999998808e-01,0.0000000000e+00,0.0000000000e+00
5.0200278453e+02,6.9999998808e-01,5.0000000000e-01,0.0000000000e+00
5.7000184169e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
4.8499825906e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.8499825906e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.0199768482e+02,6.9999998808e-01,5.0000000000e-01,0.0000000000e+00
5.0199768482e+02,6.9999998808e-01,0.0000000000e+00,0.0000000000e+00
