"ls","u","Points:0","Points:1","Points:2"
7.000000e-01,7.401659e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.500000e-01,6.551986e+02,2.500000e-01,0.000000e+00,0.000000e+00
4.500000e-01,6.551986e+02,2.500000e-01,5.000000e-01,0.000000e+00
7.000000e-01,7.401659e+02,0.000000e+00,5.000000e-01,0.000000e+00
4.500000e-01,6.551986e+02,2.500000e-01,0.000000e+00,0.000000e+00
2.000000e-01,5.701838e+02,5.000000e-01,0.000000e+00,0.000000e+00
2.000000e-01,5.701838e+02,5.000000e-01,5.000000e-01,0.000000e+00
4.500000e-01,6.551986e+02,2.500000e-01,5.000000e-01,0.000000e+00
-5.000000e-02,4.847973e+02,7.500000e-01,0.000000e+00,0.000000e+00
-3.000000e-01,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
-3.000000e-01,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
-5.000000e-02,4.847973e+02,7.500000e-01,5.000000e-01,0.000000e+00
2.000000e-01,5.701838e+02,5.000000e-01,0.000000e+00,0.000000e+00
-4.163336e-17,5.028672e+02,7.000000e-01,0.000000e+00,0.000000e+00
-4.163336e-17,5.028672e+02,7.000000e-01,5.000000e-01,0.000000e+00
2.000000e-01,5.701838e+02,5.000000e-01,5.000000e-01,0.000000e+00
-5.000000e-02,4.847973e+02,7.500000e-01,0.000000e+00,0.000000e+00
-5.000000e-02,4.847973e+02,7.500000e-01,5.000000e-01,0.000000e+00
-5.551115e-17,5.011545e+02,7.000000e-01,5.000000e-01,0.000000e+00
-5.551115e-17,5.011545e+02,7.000000e-01,0.000000e+00,0.000000e+00
