"u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
5.000000e+02,1,1,0.000000e+00,0.000000e+00,0.000000e+00
4.750000e+02,2,2,2.500000e-01,0.000000e+00,0.000000e+00
4.750000e+02,3,3,2.500000e-01,5.000000e-01,0.000000e+00
5.000000e+02,4,4,0.000000e+00,5.000000e-01,0.000000e+00
4.500000e+02,5,5,5.000000e-01,0.000000e+00,0.000000e+00
4.500000e+02,6,6,5.000000e-01,5.000000e-01,0.000000e+00
4.250000e+02,7,7,7.500000e-01,0.000000e+00,0.000000e+00
4.250000e+02,8,8,7.500000e-01,5.000000e-01,0.000000e+00
4.000000e+02,9,9,1.000000e+00,0.000000e+00,0.000000e+00
4.000000e+02,10,10,1.000000e+00,5.000000e-01,0.000000e+00
