"u","Points:0","Points:1","Points:2"
7.6000116535e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7000137787e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
6.7000137787e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
7.6000116535e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.7000137787e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.8000166737e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.8000166737e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
6.7000137787e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.8999791477e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.8999791477e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.8000166737e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.1520245597e+02,6.8000000715e-01,0.0000000000e+00,0.0000000000e+00
5.1520245597e+02,6.8000000715e-01,5.0000000000e-01,0.0000000000e+00
5.8000166737e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
4.8999791477e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.8999791477e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.1519705625e+02,6.8000000715e-01,5.0000000000e-01,0.0000000000e+00
5.1519705625e+02,6.8000000715e-01,0.0000000000e+00,0.0000000000e+00
