"u","Points:0","Points:1","Points:2"
6.3999967446e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.7999995161e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.7999995161e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
6.3999967446e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
5.7999995161e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.2000195557e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.2000195557e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
5.7999995161e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.2000195557e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
4.6001016705e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.6001016705e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.2000195557e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
4.6001016705e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.4800813364e+02,8.0000001192e-01,0.0000000000e+00,0.0000000000e+00
4.4800813364e+02,8.0000001192e-01,5.0000000000e-01,0.0000000000e+00
4.6001016705e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.4800453337e+02,8.0000001192e-01,5.0000000000e-01,0.0000000000e+00
4.4800453337e+02,8.0000001192e-01,0.0000000000e+00,0.0000000000e+00
