"u","Points:0","Points:1","Points:2"
6.8000017878e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.1000103380e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
6.1000103380e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
6.8000017878e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.1000103380e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.4000462078e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.4000462078e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
6.1000103380e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.4000462078e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
4.7001167314e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.7001167314e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.4000462078e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
4.7001167314e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.6721120622e+02,7.5999999046e-01,0.0000000000e+00,0.0000000000e+00
4.6721120622e+02,7.5999999046e-01,5.0000000000e-01,0.0000000000e+00
4.7001167314e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.6720700616e+02,7.5999999046e-01,5.0000000000e-01,0.0000000000e+00
4.6720700616e+02,7.5999999046e-01,0.0000000000e+00,0.0000000000e+00
